BUYER_COUNTY,BUYER_STATE,mme,quantity,year,population
HILL,MT,4613.69036250001,3371.0,2006,15981.0
GALLATIN,MT,10981.19109945026,8679.0,2006,83984.0
GLACIER,MT,2805.524808000004,1702.0,2006,13250.0
RAVALLI,MT,10335.214484625048,5706.0,2006,39555.0
SANDERS,MT,1877.2369710000075,1191.0,2006,11178.0
LEWIS AND CLARK,MT,14748.551671500169,10842.0,2006,59529.0
SILVER BOW,MT,11767.994081812536,7557.0,2006,33441.0
PARK,MT,3053.449396725007,2488.0,2006,15690.0
JEFFERSON,MT,747.4762935000015,388.0,2006,10801.0
PONDERA,MT,1401.9641625000006,680.0,2006,6172.0
JUDITH BASIN,MT,0.6054,2.0,2006,2146.0
CUSTER,MT,4175.356612499999,2517.0,2006,11395.0
MUSSELSHELL,MT,1194.1760130000007,488.0,2006,4398.0
YELLOWSTONE,MT,51283.171417903184,33491.0,2006,139582.0
MISSOULA,MT,29066.169450038848,18734.0,2006,104372.0
DANIELS,MT,121.10254950000001,113.0,2006,1748.0
CARBON,MT,966.793068000002,530.0,2006,9916.0
CHOUTEAU,MT,951.5645250000006,397.0,2006,5709.0
TOOLE,MT,604.395225,654.0,2006,5085.0
POWDER RIVER,MT,187.0830749999998,148.0,2006,1794.0
GARFIELD,MT,40.650450000000035,55.0,2006,1233.0
LIBERTY,MT,86.967102,73.0,2006,2216.0
BLAINE,MT,271.8287999999997,139.0,2006,6536.0
SWEET GRASS,MT,600.3093749999998,302.0,2006,3697.0
PHILLIPS,MT,568.1276609999986,747.0,2006,4166.0
MADISON,MT,1224.039900000002,585.0,2007,7560.0
JEFFERSON,MT,815.0057670000017,391.0,2007,11040.0
LAKE,MT,7620.287414737535,4471.0,2007,28235.0
MEAGHER,MT,223.70039999999992,131.0,2007,1908.0
TETON,MT,1019.1036405000017,558.0,2007,6143.0
POWELL,MT,1463.6857125000042,826.0,2007,7117.0
CUSTER,MT,6316.788262500043,3160.0,2007,11480.0
YELLOWSTONE,MT,56610.60411476544,33755.0,2007,141518.0
BLAINE,MT,286.5026249999997,175.0,2007,6472.0
HILL,MT,4051.776015,3535.0,2007,16031.0
SILVER BOW,MT,13268.592819762642,8926.0,2007,33489.0
FLATHEAD,MT,51194.814495501916,25671.0,2007,88245.0
DEER LODGE,MT,3133.521322499998,1674.0,2007,9264.0
GARFIELD,MT,15.740399999999996,49.0,2007,1234.0
GLACIER,MT,3118.472790000003,1436.0,2007,13179.0
GALLATIN,MT,12033.124284750389,9720.0,2007,86620.0
RAVALLI,MT,9153.562930612568,5745.0,2007,40023.0
SWEET GRASS,MT,641.1145875000008,302.0,2007,3778.0
SANDERS,MT,3082.3341900000173,1867.0,2007,11364.0
PARK,MT,3533.474387925,2756.0,2007,15828.0
JUDITH BASIN,MT,0.3027,1.0,2007,2083.0
CASCADE,MT,28295.859964501324,19490.0,2007,80099.0
MISSOULA,MT,29767.07407498871,18914.0,2007,106110.0
LEWIS AND CLARK,MT,16881.854311500312,12232.0,2007,60646.0
MINERAL,MT,1231.9875000000045,471.0,2007,4156.0
CHOUTEAU,MT,926.8514250000012,361.0,2007,5746.0
BIG HORN,MT,1611.5102588625034,754.0,2007,12549.0
DAWSON,MT,2879.7696878625047,1301.0,2007,8944.0
DANIELS,MT,152.28354599999997,134.0,2007,1702.0
SHERIDAN,MT,472.1496659999997,248.0,2007,3469.0
MUSSELSHELL,MT,1269.2736344999996,577.0,2007,4394.0
POWDER RIVER,MT,223.78627499999988,189.0,2007,1761.0
LIBERTY,MT,166.29975299999995,127.0,2007,2236.0
PHILLIPS,MT,549.0635249999981,677.0,2007,4193.0
STILLWATER,MT,1370.6814000000004,804.0,2007,8867.0
FALLON,MT,745.7787360000003,469.0,2007,2768.0
ROOSEVELT,MT,467.49631199999936,321.0,2007,10166.0
LINCOLN,MT,9679.530850500021,4455.0,2007,19440.0
VALLEY,MT,2453.763709500005,1571.0,2007,7332.0
PONDERA,MT,1421.8690163625024,764.0,2007,6169.0
BROADWATER,MT,495.13297499999936,246.0,2007,5089.0
FERGUS,MT,2391.5180207250087,1140.0,2007,11463.0
CARBON,MT,919.807837500001,547.0,2007,9973.0
BEAVERHEAD,MT,1586.2674750000022,1143.0,2007,9028.0
ROSEBUD,MT,1157.7101250000012,803.0,2007,9089.0
RICHLAND,MT,1317.4216590000015,1072.0,2007,9356.0
TOOLE,MT,666.2496749999996,692.0,2007,4969.0
CASCADE,MT,31969.41804086397,21866.0,2008,80529.0
SHERIDAN,MT,705.9310590000001,397.0,2008,3385.0
DANIELS,MT,132.09705,108.0,2008,1704.0
JEFFERSON,MT,722.6740470000008,284.0,2008,11203.0
PARK,MT,3773.033808150008,2674.0,2008,15896.0
PONDERA,MT,1442.9967150000016,824.0,2008,6117.0
CHOUTEAU,MT,958.0830750000013,450.0,2008,5774.0
RAVALLI,MT,10831.670561737634,6841.0,2008,40223.0
TETON,MT,982.4626875000032,538.0,2008,6143.0
TOOLE,MT,663.5472750000004,844.0,2008,5079.0
POWELL,MT,1499.9404500000046,822.0,2008,7036.0
BLAINE,MT,420.6364649999997,334.0,2008,6401.0
GLACIER,MT,3765.2776125000128,1708.0,2008,13109.0
LAKE,MT,8908.080446562562,5251.0,2008,28515.0
POWDER RIVER,MT,323.0873249999998,296.0,2008,1756.0
BEAVERHEAD,MT,1389.8817750000023,1058.0,2008,9166.0
GARFIELD,MT,19.070100000000004,59.0,2008,1205.0
HILL,MT,5737.906443037558,5164.0,2008,15889.0
FLATHEAD,MT,57954.767049589274,27296.0,2008,90260.0
LIBERTY,MT,211.355754,183.0,2008,2225.0
SILVER BOW,MT,15208.882315212715,9801.0,2008,33812.0
LINCOLN,MT,11307.32349150006,5046.0,2008,19541.0
LEWIS AND CLARK,MT,19983.752957312958,13587.0,2008,61747.0
SWEET GRASS,MT,544.6065000000003,253.0,2008,3755.0
BROADWATER,MT,804.534337500001,331.0,2008,5261.0
MEAGHER,MT,220.73677886249985,138.0,2008,1893.0
MADISON,MT,1210.404600000002,732.0,2008,7674.0
MINERAL,MT,1280.1916500000038,545.0,2008,4177.0
JUDITH BASIN,MT,0.3027,1.0,2008,2071.0
RICHLAND,MT,1513.063821000006,1328.0,2008,9430.0
CARBON,MT,814.9607625000017,474.0,2008,9965.0
DEER LODGE,MT,3807.9497599500014,1943.0,2008,9351.0
GALLATIN,MT,13690.326356475525,10860.0,2008,88932.0
VALLEY,MT,2914.2009630000102,1935.0,2008,7415.0
ROOSEVELT,MT,450.29513249999917,414.0,2008,10129.0
PHILLIPS,MT,483.70117499999793,729.0,2008,4182.0
SANDERS,MT,4242.338287500027,2446.0,2008,11433.0
MUSSELSHELL,MT,1443.5726625000007,756.0,2008,4423.0
BIG HORN,MT,1502.7948827250034,680.0,2008,12564.0
YELLOWSTONE,MT,59179.951212977285,35643.0,2008,144255.0
ROSEBUD,MT,1341.3510825000012,946.0,2008,9095.0
STILLWATER,MT,1576.005937500001,902.0,2008,8945.0
CUSTER,MT,6454.325475000045,3444.0,2008,11515.0
FERGUS,MT,2364.3516225000026,1386.0,2008,11448.0
DAWSON,MT,3302.1892200000066,1549.0,2008,8925.0
MISSOULA,MT,31938.319305526245,20757.0,2008,107747.0
FALLON,MT,662.438896500001,570.0,2008,2807.0
MUSSELSHELL,MT,1768.1390249999965,1117.0,2009,4413.0
MADISON,MT,1223.6150625000028,954.0,2009,7314.0
HILL,MT,7008.294558862621,6240.0,2009,16434.0
MINERAL,MT,1405.4419125000034,712.0,2009,3898.0
RICHLAND,MT,1679.2378875000045,1514.0,2009,9128.0
PARK,MT,4567.2706049625185,3156.0,2009,15935.0
YELLOWSTONE,MT,60051.413909289324,37746.0,2009,140436.0
POWELL,MT,2189.819115000006,1169.0,2009,7057.0
CHOUTEAU,MT,1149.198750000002,573.0,2009,5223.0
ROSEBUD,MT,1517.7174000000002,1111.0,2009,9152.0
LAKE,MT,9425.16355522516,6036.0,2009,28239.0
GARFIELD,MT,24.512137500000023,45.0,2009,1135.0
TETON,MT,1167.9003188625047,736.0,2009,6132.0
VALLEY,MT,3363.7973250000123,2061.0,2009,6888.0
FERGUS,MT,2304.419332500003,1613.0,2009,11218.0
DANIELS,MT,261.3683624999998,184.0,2009,1483.0
DAWSON,MT,3621.785512500005,1775.0,2009,8547.0
SHERIDAN,MT,516.4174499999995,282.0,2009,3568.0
CUSTER,MT,8555.40697500007,4354.0,2009,11129.0
STILLWATER,MT,1607.2802250000007,1011.0,2009,8573.0
LIBERTY,MT,146.63355,110.0,2009,2100.0
LINCOLN,MT,12056.278912500095,6133.0,2009,18698.0
BIG HORN,MT,1889.8941231750027,986.0,2009,12809.0
SWEET GRASS,MT,520.8440249999994,354.0,2009,3675.0
PHILLIPS,MT,629.8993874999994,714.0,2009,3959.0
JEFFERSON,MT,882.8536500000013,507.0,2009,11105.0
POWDER RIVER,MT,446.5859999999994,295.0,2009,1668.0
BROADWATER,MT,781.3893000000003,437.0,2009,4602.0
BLAINE,MT,608.8367999999998,477.0,2009,6515.0
BEAVERHEAD,MT,1491.9440250000025,1090.0,2009,8887.0
TOOLE,MT,678.551025,788.0,2009,5110.0
MEAGHER,MT,188.37397499999986,120.0,2009,1628.0
ROOSEVELT,MT,1227.3551025000027,1127.0,2009,10231.0
RAVALLI,MT,11997.939921562705,7656.0,2009,40060.0
FALLON,MT,874.1570250000017,624.0,2009,2657.0
CASCADE,MT,33850.2079584013,22954.0,2009,81912.0
SANDERS,MT,3930.52279886252,2613.0,2009,10950.0
FLATHEAD,MT,56153.62798961389,28581.0,2009,86657.0
PONDERA,MT,1681.949741362504,951.0,2009,5909.0
MISSOULA,MT,34340.344663388365,22749.0,2009,105637.0
GALLATIN,MT,15968.252053838218,13161.0,2009,86532.0
DEER LODGE,MT,3424.0215750000066,1841.0,2009,8876.0
WHEATLAND,MT,0.3027,1.0,2009,2018.0
LEWIS AND CLARK,MT,20974.63133681304,14369.0,2009,60081.0
JUDITH BASIN,MT,0.6054,2.0,2009,2077.0
GLACIER,MT,4027.1078625000105,1840.0,2009,13411.0
SILVER BOW,MT,17378.986552012666,10921.0,2009,32740.0
CARBON,MT,919.9287750000017,481.0,2009,9741.0
MEAGHER,MT,322.4336624999998,240.0,2010,2024.0
POWDER RIVER,MT,317.44402499999967,290.0,2010,1659.0
BEAVERHEAD,MT,1887.2185425000027,1365.0,2010,9132.0
GALLATIN,MT,19747.798066088377,16827.0,2010,87676.0
JEFFERSON,MT,907.6974375000026,570.0,2010,11166.0
LEWIS AND CLARK,MT,20945.356497038214,15684.0,2010,61643.0
VALLEY,MT,3373.963725000015,1976.0,2010,7345.0
JUDITH BASIN,MT,1.2108,4.0,2010,1967.0
TOOLE,MT,895.125037500002,936.0,2010,5143.0
DEER LODGE,MT,3447.5683615875155,1982.0,2010,9270.0
BROADWATER,MT,848.6484749999997,461.0,2010,5287.0
FERGUS,MT,2677.8825563625087,2377.0,2010,11513.0
SWEET GRASS,MT,698.5940250000003,514.0,2010,3717.0
GRANITE,MT,26.902875,19.0,2010,3044.0
PARK,MT,6335.250586312594,4338.0,2010,15752.0
SANDERS,MT,4461.945941362524,3197.0,2010,11366.0
LIBERTY,MT,126.41534999999998,125.0,2010,2261.0
PHILLIPS,MT,632.3713874999997,782.0,2010,4206.0
STILLWATER,MT,1592.0073374999995,1116.0,2010,8934.0
DAWSON,MT,4578.255791362525,2658.0,2010,8933.0
CUSTER,MT,9007.264012500094,5194.0,2010,11548.0
PONDERA,MT,1959.4670625000024,1105.0,2010,6145.0
SHERIDAN,MT,584.8700249999996,316.0,2010,3505.0
MISSOULA,MT,38241.16618567632,26946.0,2010,107288.0
DANIELS,MT,342.8406374999998,173.0,2010,1649.0
CASCADE,MT,34384.212900901715,24988.0,2010,80562.0
GLACIER,MT,4986.046087500015,3069.0,2010,13251.0
LINCOLN,MT,13394.870216362644,6820.0,2010,19507.0
HILL,MT,6603.246480000124,5932.0,2010,16007.0
CHOUTEAU,MT,911.5462125000007,608.0,2010,5765.0
ROSEBUD,MT,1903.4204399999999,1176.0,2010,9134.0
GARFIELD,MT,0.6054,2.0,2010,1224.0
SILVER BOW,MT,17390.015712937733,11305.0,2010,33797.0
LAKE,MT,9814.52326500019,6871.0,2010,28493.0
TETON,MT,1614.141367500007,986.0,2010,6105.0
RAVALLI,MT,13148.338524525268,9544.0,2010,40013.0
ROOSEVELT,MT,1704.6274875000051,1442.0,2010,10273.0
FALLON,MT,798.7978499999997,562.0,2010,2813.0
POWELL,MT,3514.3066125000073,1586.0,2010,7077.0
MADISON,MT,1053.5038500000019,1022.0,2010,7588.0
CARBON,MT,873.4244663625017,572.0,2010,9994.0
FLATHEAD,MT,50114.530492013626,28155.0,2010,89215.0
RICHLAND,MT,1811.9812575000005,1679.0,2010,9498.0
MUSSELSHELL,MT,2150.736487499997,1287.0,2010,4339.0
BLAINE,MT,702.2490000000014,526.0,2010,6472.0
BIG HORN,MT,2001.919714537505,1157.0,2010,12663.0
MINERAL,MT,1874.1197477250048,981.0,2010,4193.0
YELLOWSTONE,MT,71886.68210658983,48473.0,2010,144050.0
RICHLAND,MT,2369.6368200000024,2164.0,2011,9669.0
FALLON,MT,894.3433875000003,681.0,2011,2861.0
BLAINE,MT,731.9694000000019,611.0,2011,6476.0
LAKE,MT,10932.295878862718,8082.0,2011,28628.0
CHOUTEAU,MT,941.3477475000027,663.0,2011,5784.0
DANIELS,MT,476.78902499999975,235.0,2011,1721.0
SANDERS,MT,5075.22492750005,4287.0,2011,11421.0
LIBERTY,MT,202.155375,117.0,2011,2300.0
WHEATLAND,MT,220.55834999999988,154.0,2011,2138.0
PHILLIPS,MT,811.1365199999997,977.0,2011,4227.0
STILLWATER,MT,1851.3814874999994,1228.0,2011,9026.0
BIG HORN,MT,2062.4017356750064,1266.0,2011,12776.0
RAVALLI,MT,14472.726347250305,11314.0,2011,40199.0
CASCADE,MT,34403.82986385154,27248.0,2011,80931.0
PONDERA,MT,2046.8489068125045,1290.0,2011,6165.0
SWEET GRASS,MT,618.5021999999998,627.0,2011,3702.0
MADISON,MT,1307.4852750000025,1130.0,2011,7654.0
SHERIDAN,MT,798.9594000000003,439.0,2011,3426.0
DAWSON,MT,4614.059925000031,2925.0,2011,8961.0
MUSSELSHELL,MT,2331.1257000000032,1314.0,2011,4426.0
CUSTER,MT,8508.229432725131,4950.0,2011,11621.0
SILVER BOW,MT,17542.562071800156,11637.0,2011,33985.0
FERGUS,MT,3280.810837500019,2948.0,2011,11516.0
HILL,MT,5586.803891362576,5451.0,2011,16092.0
YELLOWSTONE,MT,78146.45918587853,54162.0,2011,146151.0
MINERAL,MT,2093.9668163625047,1067.0,2011,4193.0
LINCOLN,MT,13562.60959931262,7345.0,2011,19574.0
TOOLE,MT,976.485652500002,892.0,2011,5176.0
DEER LODGE,MT,3462.5481000000104,2265.0,2011,9294.0
MISSOULA,MT,41627.34458771376,29644.0,2011,108431.0
ROSEBUD,MT,2217.3609150000048,1234.0,2011,9200.0
VALLEY,MT,3621.7092750000206,2226.0,2011,7392.0
BEAVERHEAD,MT,2008.949302500004,2106.0,2011,9170.0
GLACIER,MT,4615.384215000025,3323.0,2011,13329.0
FLATHEAD,MT,46531.458348600885,28588.0,2011,90317.0
POWDER RIVER,MT,390.9026249999994,322.0,2011,1656.0
LEWIS AND CLARK,MT,22080.492087713275,17945.0,2011,62597.0
POWELL,MT,3488.170878862508,1581.0,2011,7068.0
PARK,MT,6841.463358150058,4627.0,2011,15704.0
GRANITE,MT,273.44418749999994,184.0,2011,3055.0
TETON,MT,1823.5497750000068,1254.0,2011,6103.0
CARBON,MT,1103.5433702250016,625.0,2011,10016.0
JEFFERSON,MT,1017.0980775000014,822.0,2011,11281.0
ROOSEVELT,MT,1830.6409125000064,1474.0,2011,10323.0
JUDITH BASIN,MT,0.6054,2.0,2011,2061.0
